record,type,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval
I11,N,199,200,0.050617295,0.010062896,0.833977386,-0.392230254,0.007791436,14,5,25,6
I11,N,200,196,0.056542075,0.022488537,0.766712663,-0.327670338,0.002463899,13,6,25,6
I11,N,196,195,0.056867086,0.025199279,0.741594442,-0.333986134,0.002006048,13,6,25,6
I11,N,195,185,0.055372289,0.000263784,0.853291773,-0.378308955,0.00078917,14,9,28,5
I12,N,181,180,0.133436623,-0.486542726,1.548226039,-0.754732861,-0.283362614,33,11,50,6
I12,N,180,175,-0.066138198,-0.338908753,1.564859709,-0.693211439,-0.095601421,18,3,31,10
I12,N,175,178,-0.066267356,-0.436194338,1.575460936,-0.694214974,-0.077133382,17,3,26,6
I12,N,178,179,-0.072495708,-0.428129082,1.696924609,-0.710739998,-0.135186716,18,8,32,6
I12,N,179,181,-0.07180851,-0.46893788,1.671296778,-0.716868538,-0.089967749,18,2,25,5
I12,N,181,175,-0.025128395,-0.402761418,1.54010487,-0.672612456,-0.043990596,17,3,26,6
I12,N,175,181,-0.072697646,-0.419676401,1.561631611,-0.680683649,-0.135298709,18,5,29,6
I12,N,181,185,-0.037810275,-0.268834265,1.692288891,-0.722665589,-0.097092659,18,3,39,18
I12,N,185,187,-0.065737592,-0.412053703,1.655715436,-0.71825623,-0.068941272,18,1,24,5
I12,N,187,181,0.195492418,-0.428266779,1.650136018,-0.713364499,-0.150642442,33,8,46,5
I13,VEB,129,164,0.222579502,1.722634808,1.603647985,1.603647985,-0.303020002,35,21,58,2
I13,N,164,252,0.700619332,-0.441434222,1.508247426,-0.656419045,-0.043645669,18,71,94,5
I13,N,252,280,-0.033180625,1.476291137,1.445051028,1.445051028,-0.070255461,9,4,14,1
I13,N,280,284,-0.064626513,1.461719705,1.452790594,1.452790594,-0.099834111,9,4,14,1
I13,N,284,132,-0.070877056,1.436189997,1.418434906,1.418434906,-0.107573988,9,4,14,1
I13,VEB,132,163,0.221909099,1.659654467,1.608698494,1.608698494,-0.307746123,38,21,60,1
I13,N,163,243,0.72049667,-0.443452208,1.56645003,-0.664248787,-0.017563434,18,68,91,5
I13,N,243,277,-0.019037045,1.510796946,1.429720884,1.429720884,-0.06118687,8,4,13,1
I13,N,277,277,-0.063551507,1.483187152,1.400649162,1.400649162,-0.102992787,8,4,13,1
I13,N,277,134,-0.068735566,-0.374444838,1.440222068,-0.610825149,-0.105131535,18,4,27,5
I14,N,266,293,-0.056583611,-0.443994005,1.355601782,-0.63654522,-0.100752406,18,12,35,5
I14,N,293,291,-0.030091554,-0.383581733,1.389915031,-0.582678034,-0.063909044,18,4,27,5
I14,N,291,272,-0.03809758,-0.373591491,1.388175709,-0.572555984,-0.065461758,17,4,27,6
I14,N,272,285,-0.018181992,-0.371338423,1.422273108,-0.582913726,-0.048863193,18,4,27,5
I14,N,285,297,-0.040027048,-0.379229792,1.388924514,-0.592952777,-0.070376617,18,4,27,5
I14,N,297,300,-0.043321814,-0.383246113,1.385450374,-0.585847212,-0.069767939,17,4,26,5
I14,N,300,285,-0.046495435,-0.376845412,1.376011822,-0.590510694,-0.069871907,17,4,26,5
I14,N,285,282,-0.02737856,-0.382024773,1.406232152,-0.589926541,-0.061187514,17,4,27,6
I14,N,282,289,-0.035381501,-0.374614815,1.401775009,-0.593259308,-0.060297001,18,3,26,5
I14,N,289,276,-0.035931814,-0.376604395,1.403828774,-0.576627471,-0.06525818,18,4,27,5
I15,N,182,177,-0.299367707,-0.408934816,1.03998877,-0.829377145,-0.299817021,24,1,31,6
I15,N,177,179,-0.082493751,-0.385081279,1.47133639,-0.726829262,-0.096442311,19,3,28,6
I15,N,179,182,-0.066088586,-0.376038091,1.369737586,-0.634527917,-0.111418639,24,5,35,6
I15,N,182,182,-0.078160968,-0.366123018,1.262989454,-0.564287381,-0.08837586,24,4,34,6
I15,N,182,179,-0.069063048,-0.338510118,1.184236024,-0.54747255,-0.095371346,19,4,28,5
I15,N,179,172,-0.142488043,-0.242440533,1.061466292,-0.662384836,-0.143086854,26,1,33,6
I15,N,172,174,-0.082271771,-0.313848834,1.135307898,-0.558977829,-0.096272289,18,5,29,6
I15,N,174,169,-0.077523273,-0.270932546,1.117827248,-0.537069761,-0.089842482,18,5,28,5
I15,N,169,170,-0.104524838,-0.28376821,1.142137427,-0.533822341,-0.104894151,19,1,25,5
I15,N,170,165,-0.110461313,-0.276985186,1.120541666,-0.539207202,-0.114664062,25,3,34,6
I16,N,337,341,0.402540589,0.298218372,0.394147242,0.27257579,0.394147242,4,1,7,2
I16,N,341,340,0.37928464,0.247372565,0.354872942,0.22823831,0.354872942,4,1,7,2
I16,N,340,333,0.372783341,0.242522306,0.353542232,0.221310312,0.353542232,4,1,7,2
I16,N,333,328,0.406298587,0.300723371,0.38525774,0.277682997,0.38525774,3,1,6,2
I16,N,328,338,0.38027528,0.261686143,0.344005089,0.23780636,0.344005089,3,2,7,2
I16,N,338,341,0.368280789,0.238514021,0.3353724,0.218195913,0.3353724,3,1,6,2
I16,N,341,329,0.382382132,0.247905977,0.355353351,0.228181154,0.355353351,3,1,7,3
I16,N,329,339,0.380566978,0.286869989,0.355300292,0.256427526,0.355300292,3,1,7,3
I16,N,339,336,0.377109304,0.244151349,0.318858897,0.219163433,0.318858897,3,2,7,2
I16,N,336,338,0.386498676,0.230801238,0.327280355,0.211963005,0.327280355,3,2,7,2
I17,N,279,285,0.264468438,0.121265396,0.206401135,-0.006282342,0.206401135,4,2,10,4
I17,N,285,279,0.277452618,0.142810544,0.15036406,-0.02095621,0.15036406,3,3,10,4
I17,N,279,277,0.266899377,0.174768438,0.197779866,-0.408204833,-0.009672788,17,5,81,59
I17,N,277,283,0.286565698,0.175398546,0.178413248,-0.388678551,0.001993413,16,6,81,59
I17,N,283,284,0.279899017,0.14757405,0.172156141,0.007929563,0.172156141,3,2,9,4
I17,N,284,286,0.28990046,0.142236286,0.21476201,0.019215034,0.21476201,3,2,9,4
I17,N,286,284,0.26973004,0.178340122,0.181327371,-0.392391942,-0.014214598,17,5,81,59
I17,N,284,291,0.281089606,0.184076181,0.190295699,0.001126369,0.190295699,3,2,10,5
I17,N,291,297,0.280457458,0.151747282,0.178909633,0.002508773,0.178909633,3,2,9,4
I17,N,297,302,0.284998869,0.143962027,0.215091836,0.020231099,0.215091836,3,2,9,4
I18,N,182,134,0.025416778,-0.275579154,1.502906764,-0.618820639,-0.151066279,21,5,31,5
I18,VEB,134,261,0.049324846,0.686046458,1.344608162,0.461609573,0.036003954,24,4,33,5
I18,N,261,173,0.136959573,-0.220586616,1.262452592,-0.777349837,-0.318515124,23,16,45,6
I18,N,173,164,0.1126902,-0.181788644,1.36799584,-0.628263199,-0.328386257,15,6,26,5
I18,N,164,136,-0.023722734,1.377729241,-0.009628051,-0.009628051,-0.193453636,2,5,12,5
I18,VEB,136,212,0.079235639,0.614463925,1.654830594,0.458632873,-0.037617387,27,8,38,3
I18,N,212,164,-0.228862254,1.183724168,-0.030307529,-0.030307529,-0.237926465,4,3,12,5
I18,N,164,162,-0.019234617,-0.182944844,1.254114097,-0.621903877,-0.098719771,20,5,31,6
I18,N,162,139,-0.130719529,-0.187874656,1.368181051,-0.749805718,-0.132959631,20,2,29,7
I18,VEB,139,219,-0.046146414,0.44941609,1.779237155,0.315408133,-0.05228135,25,2,30,3
I19,VEB,132,352,0.333412963,0.257216222,0.867065289,-0.010617087,-0.11528167,52,20,77,5
I19,N,352,125,0.188045822,-0.22698068,1.029248441,-0.564893627,-0.141274558,26,18,50,6
I19,VEB,125,340,0.22982467,-0.067997543,0.7780985,-0.142815411,-0.183244068,46,19,70,5
I19,N,340,131,0.171288515,-0.223441284,0.999435446,-0.548855083,-0.156721206,27,16,49,6
I19,VEB,131,320,0.23018813,0.189768414,0.788639512,-0.070083692,-0.171723363,50,20,75,5
I19,N,320,144,0.179568634,-0.229124138,1.019905712,-0.557786593,-0.150798979,26,18,50,6
I19,VEB,144,315,0.226935226,0.385427677,0.908886692,0.054557283,-0.187209102,65,20,90,5
I19,N,315,139,0.175442269,-0.239598906,1.020783505,-0.576631994,-0.152650841,28,17,51,6
I19,VEB,139,326,0.235611485,0.265672125,0.907535274,0.015479459,-0.193009408,60,20,85,5
I19,N,326,136,0.167045726,-0.244810883,1.062384476,-0.599499497,-0.155768564,28,16,50,6
I20,N,389,236,-0.071346631,-0.329777581,1.482715089,-0.797368962,-0.083870068,16,5,27,6
I20,N,236,224,-0.056862436,-0.284380975,1.486316667,-0.753638333,-0.063038464,16,2,24,6
I20,N,224,213,-0.092062336,-0.313100784,1.591240926,-0.829299335,-0.094110895,22,2,30,6
I20,N,213,215,-0.039606436,-0.312408111,1.644362523,-0.802149127,-0.046365386,16,2,24,6
I20,N,215,145,-0.031275691,-0.289963122,1.51714914,-0.759791471,-0.040446314,16,3,25,6
I20,SVEB,145,146,0.01601602,-0.301112383,1.641340885,-0.741576337,0.010771632,16,2,24,6
I20,SVEB,146,229,-0.069354093,-0.278795539,1.556250155,-0.739626055,-0.079103225,16,2,24,6
I20,N,229,205,-0.077157756,-0.33869629,1.579540088,-0.872773736,-0.08377576,17,6,29,6
I20,N,205,222,-0.080293252,-0.327032084,1.658501306,-0.857320042,-0.084090544,16,2,24,6
I20,N,222,402,-0.064909407,-0.312385825,1.56643118,-0.788344495,-0.070028246,16,3,25,6
I21,N,211,215,-0.021050516,-0.288983651,1.647514296,-0.724382842,-0.029341087,17,2,25,6
I21,N,215,213,-0.088813619,-0.346237736,1.561436847,-0.761999596,-0.096234951,17,2,25,6
I21,N,213,209,-0.08219116,-0.338628817,1.564433878,-0.745748606,-0.090157684,17,2,25,6
I21,N,209,145,-0.070286737,-0.317114577,1.612026424,-0.765500686,-0.075482159,16,2,24,6
I21,SVEB,145,257,-0.01499645,-0.301101788,1.683070403,-0.682258494,-0.024488233,16,4,25,5
I21,N,257,226,-0.09170389,-0.350378606,1.547663831,-0.760767659,-0.10140904,16,3,25,6
I21,N,226,226,-0.088926333,-0.32178011,1.575872452,-0.774677906,-0.094383923,16,3,25,6
I21,N,226,220,-0.098431697,-0.349475405,1.554014328,-0.782263137,-0.104219792,16,3,25,6
I21,N,220,214,-0.068452124,-0.346506668,1.565249749,-0.754553955,-0.078021342,17,2,25,6
I21,N,214,215,-0.032003635,-0.317286857,1.600194465,-0.741983314,-0.046906001,16,4,26,6
I22,N,152,156,-0.106654797,-0.373364366,1.610085908,-0.954579501,-0.113392792,16,2,25,7
I22,N,156,153,-0.070195655,-0.313726334,1.574790503,-0.827899974,-0.07993351,16,3,25,6
I22,N,153,155,-0.084495359,-0.324463345,1.449781216,-0.782282627,-0.09310591,16,3,25,6
I22,N,155,156,-0.078184235,-0.314950618,1.438643374,-0.742632597,-0.083908869,16,2,25,7
I22,N,156,159,-0.061848938,-0.323645576,1.555514785,-0.846496643,-0.06713574,16,2,24,6
I22,N,159,110,-0.084936423,-0.346282675,1.511961254,-0.849900907,-0.095871593,16,3,25,6
I22,VEB,110,195,0.069969948,0.159373118,0.563404346,0.151265316,0.043054377,21,8,31,2
I22,N,195,127,-0.050947608,-0.292254821,1.423772169,-0.745382023,-0.056832396,16,3,25,6
I22,VEB,127,204,0.104778365,2.431691003,2.194506217,2.194506217,0.00051727,24,30,56,2
I22,N,204,162,-0.217683153,-0.465205273,1.41753457,-1.042184327,-0.22018176,17,1,24,6
I23,N,242,250,-0.034048411,-0.04291972,0.700553064,-0.749415416,-0.045532468,17,3,30,10
I23,N,250,247,-0.020782771,0.177152768,0.701972698,-0.692179815,-0.028268475,17,3,78,58
I23,N,247,233,0.001665765,0.020601411,0.648001992,-0.738310877,-0.054274614,18,5,41,18
I23,N,233,242,0.006376493,-0.097790781,0.70540905,-0.733774003,-0.037905259,17,8,34,9
I23,N,242,240,-0.004724566,-0.015988209,0.735691524,-0.651522573,-0.073279615,16,4,35,15
I23,N,240,232,-0.028874869,-0.042836263,0.624280799,-0.712362203,-0.030824779,18,2,31,11
I23,N,232,241,-0.030749464,0.007107519,0.697152487,-0.720002095,-0.054095805,18,5,40,17
I23,N,241,249,-0.026120373,0.166558944,0.697584989,-0.711204142,-0.034418587,17,3,78,58
I23,N,249,239,-0.041176513,-0.052058912,0.65670992,-0.722492059,-0.058969188,18,5,34,11
I23,N,239,244,-0.020851037,-0.056433075,0.661071526,-0.757692012,-0.04585395,18,5,33,10
I24,N,155,151,-0.082109934,0.237429066,0.288679797,-0.733447769,-0.122914611,14,4,28,10
I24,N,151,154,-0.097316414,0.14456113,0.279263062,-0.795457691,-0.173799627,13,6,28,9
I24,N,154,151,-0.11189675,0.142218516,0.249346073,-0.749088605,-0.169679316,14,8,31,9
I24,N,151,148,-0.113626239,0.108360642,0.243609239,-0.696685148,-0.181877089,14,5,28,9
I24,N,148,149,-0.095092849,0.152703447,0.227572647,-0.700886824,-0.154495713,14,5,29,10
I24,N,149,146,-0.094796217,0.123354392,0.241294528,-0.673275103,-0.158071181,14,5,28,9
I24,N,146,147,-0.086246665,0.173037543,0.167214314,-0.642313517,-0.179736559,13,5,28,10
I24,N,147,142,-0.096225312,0.16500411,0.139539529,-0.655246288,-0.168689485,14,6,29,9
I24,N,142,142,-0.115509077,0.16615522,0.249024727,-0.857787811,-0.130036865,14,6,30,10
I24,N,142,140,-0.10055555,0.165710892,0.289581781,-0.900073574,-0.120606781,13,3,32,16
I25,N,237,237,0.194198266,0.338838396,0.895991716,-0.062123776,0.179705178,19,3,29,7
I25,N,237,229,0.063188112,0.137322587,0.802794586,-0.26491793,0.017327395,14,5,32,13
I25,N,229,236,0.111293638,0.284996842,-0.273397404,-0.273397404,-0.298735141,1,14,20,5
I25,N,236,235,-0.118526537,0.582835556,-0.081731207,-0.081731207,-0.148517893,4,5,15,6
I25,N,235,235,-0.419846025,0.459237076,-0.044143082,-0.044143082,-0.447597733,13,4,21,4
I25,N,235,236,-0.004275535,0.029056902,0.734667238,-0.268393215,-0.00458602,21,1,28,6
I25,N,236,235,0.184129908,-0.099836954,0.663599521,-0.377988256,-0.176214732,30,10,45,5
I25,N,235,238,-0.172786929,0.550838481,-0.010722005,-0.010722005,-0.187442417,10,4,19,5
I25,N,238,239,-0.074212945,-0.058208293,0.671127042,-0.321078828,-0.082806531,20,4,30,6
I25,N,239,245,-0.128962278,-0.150083809,0.595478048,-0.37382795,-0.164445886,15,10,31,6
I26,N,343,337,-0.128039054,-0.086367236,0.624678305,-0.349447384,-0.135124769,23,4,33,6
I26,N,337,354,-0.129679565,-0.09232531,0.643122861,-0.356070967,-0.135548083,24,4,33,5
I26,N,354,359,-0.127868683,-0.095944999,0.637955145,-0.352852916,-0.133503786,24,4,33,5
I26,N,359,353,-0.128417852,-0.094879243,0.637803296,-0.347747315,-0.131825397,23,4,33,6
I26,N,353,340,-0.128501431,-0.092562146,0.634632578,-0.351106789,-0.134819499,23,4,32,5
I26,N,340,349,-0.132771704,-0.076273257,0.614145439,-0.356275599,-0.138302725,24,3,32,5
I26,N,349,354,-0.130493714,-0.092527038,0.633104847,-0.356546934,-0.135693622,23,4,33,6
I26,N,354,351,-0.128594007,-0.092996596,0.642194457,-0.349672664,-0.133591662,24,4,33,5
I26,N,351,353,-0.128959911,-0.087282896,0.625114469,-0.358952531,-0.137158259,24,4,34,6
I26,N,353,367,-0.135709512,-0.09586323,0.634545341,-0.356568227,-0.140081572,24,3,33,6
I27,N,164,108,-0.175335731,0.216509862,1.101365979,-0.756824837,-0.219143376,15,4,64,45
I27,VEB,108,223,0.216509862,1.999611191,1.665081326,1.665081326,-0.113531601,31,28,63,4
I27,N,223,163,-0.22876879,-0.032347085,1.026464434,-0.87656504,-0.266311042,15,4,37,18
I27,N,163,107,0.019179251,0.169674363,1.098447804,-0.60098516,-0.02659232,15,4,59,40
I27,VEB,107,226,0.169674363,1.935486108,1.75903875,1.75903875,-0.191462933,32,31,66,3
I27,N,226,116,-0.237804078,-0.123317192,0.908026201,-1.063856147,-0.386351184,16,12,48,20
I27,VEB,116,222,0.010172784,1.953990402,1.676980362,1.676980362,0.007327795,26,2,32,4
I27,N,222,125,-0.242144152,-0.064281928,0.871960969,-0.862168813,-0.288364085,15,5,44,24
I27,VEB,125,210,1.10254138,1.511543426,1.311795201,1.311795201,1.045990017,5,3,13,5
I27,N,210,117,-0.259908004,0.040187268,0.994053273,-0.961997015,-0.318419801,16,8,67,43
I28,N,313,301,-0.020110192,-0.129034446,1.20880623,-0.797317123,-0.05318474,15,5,28,8
I28,N,301,277,-0.009319208,0.047747969,1.247491147,-0.766337853,-0.049644083,16,5,91,70
I28,N,277,278,-0.008390565,-0.152469313,1.223146127,-0.774574747,-0.049397531,16,6,30,8
I28,N,278,290,-0.007483493,-0.124838349,1.195575584,-0.783430207,-0.047770425,16,5,29,8
I28,N,290,269,-0.018436443,-0.134247564,1.193689526,-0.782499861,-0.05471777,15,5,28,8
I28,N,269,249,-3.78e-06,-0.069211837,1.291281029,-0.743897977,-0.052617017,16,7,53,30
